variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3,plaintext_cite4,bibtex_cite4
pctlatinx,2013-2017,Latinx population,Percentage of the state's residents who are Hispanic or Latino (of any race),"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
pctwhite,2013-2017,White population,Percentage of the state's residents who are white (not Hispanic or Latino),"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
pctblack,2013-2017,Black population,Percentage of the state's residents who are black or African American (alone),"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
pctasian,2013-2017,Asian population,Percentage of the state's residents who are Asian (alone),"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
pctpacific,2013-2017,Pacific Islander population,Percentage of the state's residents who are native Hawaiian or other Pacific Islander (alone),"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
pctamericanindian,2013-2017,American Indian population,Percentage of the state's residents who are American Indian or Alaska Native (alone),"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
birthrate,1991-2008,Birth rate,"Children per woman (total fertility) with projections; births per 1,000 women aged 15-44","Centers for Disease Control and Prevention. National Center for Health Statistics (VitalStats). https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)",demographics,"National Center for Health Statistics (US. ""Data Sources."" Health, United States, 2018 [Internet]. National Center for Health Statistics (US), 2019.","@incollection{national2019data,
  title={Data Sources},
  author={National Center for Health Statistics (US and others},
  booktitle={Health, United States, 2018 [Internet]},
  year={2019},
  publisher={National Center for Health Statistics (US)}
}",NA,NA,NA,NA,NA,NA
evangelical_pop,1975-2013,Evangelical population,Percentage of evangelical residents in a state,"Sellers, Mitchell D. 'Gubernatorial Use of Executive Orders: Unilateral Action and Policy Adoption.' Journal of Public Policy 37.3 (2017): 315-339.",demographics,"Sellers, M.D., 2017. Gubernatorial use of executive orders: unilateral action and policy adoption. Journal of Public Policy, 37(3), pp.315-339.","@article{sellers2017gubernatorial,
  title={Gubernatorial use of executive orders: unilateral action and policy adoption},
  author={Sellers, Mitchell Dylan},
  journal={Journal of Public Policy},
  volume={37},
  number={3},
  pages={315--339},
  year={2017},
  publisher={Cambridge University Press}
}",NA,NA,NA,NA,NA,NA
nonwhite,1974-2011,Nonwhite population,Proportion of the state population that is nonwhite,"Kelly, Nathan J., and Christopher Witko. 'Government Ideology and Unemployment in the U.S. States.' State Politics & Policy Quarterly 14.4 (2014): 389-413.",demographics,"Kelly, N.J. and Witko, C., 2014. Government ideology and unemployment in the US states. State Politics & Policy Quarterly, 14(4), pp.389-413.","@article{kelly2014government,
  title={Government ideology and unemployment in the US states},
  author={Kelly, Nathan J and Witko, Christopher},
  journal={State Politics \& Policy Quarterly},
  volume={14},
  number={4},
  pages={389--413},
  year={2014},
  publisher={Cambridge University Press}
}",NA,NA,NA,NA,NA,NA
foreign_born,2005-2012,Foreign-born population,Percentage of state population who are foreign born,"Pew Research Center, Hispanic Trends Projection (based on American Community Survey data): http://www.pewhispanic.org/2014/04/29/statistical- portrait-of-the-foreign-born-population-in-the-united-states-2012/#foreign- born-by-state-2012
Reich, Gary. 'Immigrant legislation, across and within the United States.'
Research & Politics 4.4 (2017): 1-11.",demographics,"Reich, G., 2017. Immigrant legislation, across and within the United States. Research & Politics, 4(4), p.2053168017742005.","@article{reich2017immigrant,
  title={Immigrant legislation, across and within the United States},
  author={Reich, Gary},
  journal={Research \& Politics},
  volume={4},
  number={4},
  pages={2053168017742005},
  year={2017},
  publisher={SAGE Publications Sage UK: London, England}
}",NA,NA,NA,NA,NA,NA
newimmig,1988-2011,New immigrant green card holders,Persons obtaining legal permanent resident status by state of residence: fiscal years 1988 to 2011. The fiscal year runs from October 1 through September 30. A permanent resident is defined as a green card holder who has been granted lawful authorization to live and work in the United States on a permanent basis.,"U.S. Department of Homeland Security. 'Persons Obtaining Legal Permanent Resident Status by State of Residence: Fiscal Years 1988 to 2011.' https://www.dhs.gov/publication/yearbook-immigration-statistics-2011-legal- permanent-residents.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Notes: To obtain permanent resident status, most individuals are sponsored by a family member or employer in the United States. Other individuals may become permanent residents through refugee or asylee status or other humanitarian programs. In some cases, people may be eligible to file for themselves.",demographics,U.S. Department of Homeland Security. 'Persons Obtaining Legal Permanent Resident Status by State of Residence: Fiscal Years 1988 to 2011.' https://www.dhs.gov/publication/yearbook-immigration-statistics-2011-legal- permanent-residents.,"@misc{usdhs2011,
  title = {Persons Obtaining Legal Permanent Resident Status by State of Residence: Fiscal Years 1988 to 2011},
  author = {Department of Homeland Security},
  year = {2011},
  note = {\url{https://www.dhs.gov/publication/yearbook-immigration-statistics-2011-legal- permanent-residents}}
}",NA,NA,NA,NA,NA,NA
undocumented_immigrants,"1990, 2000, 2005, 2007, 2010",Estimated number of undocumented immigrants,"Estimated number of unauthorized immigrants in a state Notes: data are estimates by Pew Hispanic Center, not actual counts. Several observations are recorded as '< 5,000' and '< 10,000' rather than discrete estimates.","Passel, Jeffrey S., and D'Vera Cohn. 2011. 'Unauthorized Immigrant Population: National and State Trends, 2010.' Pew Research Center.",demographics,"Passel, J.S. and D'Vera Cohn, S.W., 2011. Unauthorized immigrant population: National and state trends, 2010 (pp. 1-31). Washington, DC: Pew Hispanic Center.","@book{passel2011unauthorized,
  title={Unauthorized immigrant population: National and state trends, 2010},
  author={Passel, Jeffrey S and D'Vera Cohn, SW},
  year={2011},
  publisher={Pew Hispanic Center Washington, DC}
}",NA,NA,NA,NA,NA,NA
refugeetotal,2000-2012,Refugee total,Number of refugees arriving per state per fiscal year. The fiscal year runs from October 1 through September 30.,"U.S. Department of Health & Human Services-Office of Refugee Resettlement. 'Refugee Arrival Data.' http://www.acf.hhs.gov/programs/orr/resource/refugee-arrival-data.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Note: To be eligible for refugee status, an applicant must meet the definition of a refugee set forth in 101(a)(42) of the Immigration and Nationality Act: a person who is unable or unwilling to return to his or her country of nationality because of persecution or a well-founded fear of persecution on account of race, religion, nationality, membership in a particular social group, or political opinion.",demographics,U.S Department of Health and Human Services-Office of Refugee Resettlement. “Refugee Arrival Data” http://www.acf.hhs.gov/programs/orr/resource/refugee-arrival-data. (Accessed 9/16/2021),NA,NA,NA,NA,NA,NA,NA
pop_annual,1929-2012,Total state population,"Total population in the state, measured annually.","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
Source (2012): http://www.bizjournals.com/bizjournals/on-numbers/scott- thomas/2012/06/californias-population-passes- 38.html?appSession=10897383915145&RecordID=&PageID=2&PrevPageI D=&cpipage=3&CPISortType=&CPIorderBy",demographics,"Klarner, Carl. ""State economic data."" Harvard Dataverse 1 (2013).","@article{klarner2013state,
  title={State economic data},
  author={Klarner, Carl},
  journal={Harvard Dataverse},
  volume={1},
  year={2013}
}",NA,NA,NA,NA,NA,NA
dimmhed,2000-2017,Undocumented immigrants' access to public higher education,"Undocumented immigrants' access to public higher education (-1 = banned from all public universities, -0.5 = banned from some public universities, 0 = no in-state tuition, 0.5 = in-state tuition at some universities, 0.75 = in- state tuition for community colleges and transfers to 4-years, 1 = in-state tuition statewide)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",demographics,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
immig_laws_restrict,2005-2012,Total restrictive immigrant laws passed,Number of 'restrictive' laws relating to immigrants passed in the year,"Reich, Gary. 'Immigrant legislation, across and within the United States.'
Research & Politics 4.4 (2017): 1-11.",demographics,"Reich, G., 2017. Immigrant legislation, across and within the United States. Research & Politics, 4(4), p.2053168017742005.","@article{reich2017immigrant,
  title={Immigrant legislation, across and within the United States},
  author={Reich, Gary},
  journal={Research \& Politics},
  volume={4},
  number={4},
  pages={2053168017742005},
  year={2017},
  publisher={SAGE Publications Sage UK: London, England}
}",NA,NA,NA,NA,NA,NA
immig_laws_accom,2005-2012,Total accommodating immigrant laws passed,Number of 'accommodating' laws relating to immigrants passed in the year,"Reich, Gary. 'Immigrant legislation, across and within the United States.'
Research & Politics 4.4 (2017): 1-11.",demographics,"Reich, G., 2017. Immigrant legislation, across and within the United States. Research & Politics, 4(4), p.2053168017742005.","@article{reich2017immigrant,
  title={Immigrant legislation, across and within the United States},
  author={Reich, Gary},
  journal={Research \& Politics},
  volume={4},
  number={4},
  pages={2053168017742005},
  year={2017},
  publisher={SAGE Publications Sage UK: London, England}
}",NA,NA,NA,NA,NA,NA
immig_laws_neut,2005-2012,Total neutral immigrant laws passed,Number of 'neutral' laws relating to immigrants passed in the year,"Reich, Gary. 'Immigrant legislation, across and within the United States.'
Research & Politics 4.4 (2017): 1-11.",demographics,"Reich, G., 2017. Immigrant legislation, across and within the United States. Research & Politics, 4(4), p.2053168017742005.","@article{reich2017immigrant,
  title={Immigrant legislation, across and within the United States},
  author={Reich, Gary},
  journal={Research \& Politics},
  volume={4},
  number={4},
  pages={2053168017742005},
  year={2017},
  publisher={SAGE Publications Sage UK: London, England}
}",NA,NA,NA,NA,NA,NA
immig_laws_total,2005-2012,Total immigrant laws passed,Total laws relating to immigrants passed in the year,"Reich, Gary. 'Immigrant legislation, across and within the United States.'
Research & Politics 4.4 (2017): 1-11.",demographics,"Reich, G., 2017. Immigrant legislation, across and within the United States. Research & Politics, 4(4), p.2053168017742005.","@article{reich2017immigrant,
  title={Immigrant legislation, across and within the United States},
  author={Reich, Gary},
  journal={Research \& Politics},
  volume={4},
  number={4},
  pages={2053168017742005},
  year={2017},
  publisher={SAGE Publications Sage UK: London, England}
}",NA,NA,NA,NA,NA,NA
immigration_english_language,1970-2014,English is official language,"Is English the state's official language? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936-2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB",demographics,"Caughey, D. and Warshaw, C., 2016. The dynamics of state policy liberalism, 1936–2014. American Journal of Political Science, 60(4), pp.899-913.","@article{caughey2016dynamics,
  title={The dynamics of state policy liberalism, 1936--2014},
  author={Caughey, Devin and Warshaw, Christopher},
  journal={American Journal of Political Science},
  volume={60},
  number={4},
  pages={899--913},
  year={2016},
  publisher={Wiley Online Library}
}
",NA,NA,NA,NA,NA,NA
immigration_instate_tuition_illegalimmigrants,2001-2014,In-state tuition for immigrants,"Does the state allow in-state tuition for illegal immigrants? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936-2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB",demographics,"Caughey, D. and Warshaw, C., 2016. The dynamics of state policy liberalism, 1936–2014. American Journal of Political Science, 60(4), pp.899-913.","@article{caughey2016dynamics,
  title={The dynamics of state policy liberalism, 1936--2014},
  author={Caughey, Devin and Warshaw, Christopher},
  journal={American Journal of Political Science},
  volume={60},
  number={4},
  pages={899--913},
  year={2016},
  publisher={Wiley Online Library}
}
",NA,NA,NA,NA,NA,NA
engonly,1900-2017,English-only law,0 = policy not adopted 1 = policy adopted,"Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329.",demographics,"Boehmke, Frederick J., and Paul Skinner. ""State policy innovativeness revisited."" State Politics & Policy Quarterly 12.3 (2012): 303-329.","@article{boehmke2012state,
  title={State policy innovativeness revisited},
  author={Boehmke, Frederick J and Skinner, Paul},
  journal={State Politics \& Policy Quarterly},
  volume={12},
  number={3},
  pages={303--329},
  year={2012},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}",NA,NA,NA,NA,NA,NA
